cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
8397.27777777778,2025-01-28T19:01:03.015Z,23.7238574,90.4108181,49.86948596340041,1.243,1.26,3,163
8452.88888888889,2025-01-28T19:01:03.070Z,23.7238563,90.4108192,49.8044859634004,1.291,1.3,3,163
8508.500000000002,2025-01-28T19:01:03.125Z,23.7238549,90.4108205,49.834485963400404,1.376,1.35,3,163
8564.111111111113,2025-01-28T19:01:03.180Z,23.7238534,90.410821,49.8264859634004,1.512,1.43,3,163
8619.722222222224,2025-01-28T19:01:03.235Z,23.7238521,90.4108218,49.745485963400405,1.573,1.56,3,163
8675.333333333336,2025-01-28T19:01:03.290Z,23.7238515,90.4108221,49.61648596340041,1.526,1.62,3,163
8730.944444444447,2025-01-28T19:01:03.345Z,23.7238509,90.4108218,49.614485963400405,1.448,1.58,3,163
8786.555555555558,2025-01-28T19:01:03.400Z,23.7238506,90.4108216,49.60448596340041,1.329,1.51,3,163
8842.16666666667,2025-01-28T19:01:03.455Z,23.7238497,90.4108226,49.4394859634004,1.373,1.39,3,163
8897.777777777781,2025-01-28T19:01:03.510Z,23.7238485,90.4108238,49.22348596340041,1.443,1.44,3,163
8953.388888888892,2025-01-28T19:01:03.565Z,23.7238471,90.4108247,49.04348596340041,1.508,1.52,3,163
9009,2025-01-28T19:01:03.620Z,23.7238459,90.410826,49.0794859634004,1.609,1.59,3,163
9064.611111111111,2025-01-28T19:01:03.675Z,23.7238447,90.4108271,49.135485963400406,1.714,1.68,3,163
9120.222222222223,2025-01-28T19:01:03.730Z,23.723844,90.4108278,49.0884859634004,1.677,1.78,3,163
9175.833333333334,2025-01-28T19:01:03.785Z,23.7238435,90.4108282,49.0544859634004,1.603,1.74,3,163
9231.444444444445,2025-01-28T19:01:03.840Z,23.7238429,90.4108286,48.925485963400405,1.564,1.67,3,163
9287.055555555557,2025-01-28T19:01:03.895Z,23.7238422,90.4108295,48.846485963400404,1.565,1.64,3,163
9342.666666666668,2025-01-28T19:01:03.950Z,23.7238412,90.4108305,48.73548596340041,1.599,1.65,3,163
9398.27777777778,2025-01-28T19:01:04.005Z,23.7238404,90.4108309,48.73248596340041,1.544,1.68,3,163
9453.88888888889,2025-01-28T19:01:04.060Z,23.7238398,90.4108318,48.7494859634004,1.525,1.63,3,163
